publishedAt,authorDisplayName,textDisplay
2023-10-05T20:46:32Z,@anggasadewa1305,Pusing pusing dan yang orang2 OKB yang baru mau kaya gara gara aplikasi tiktok waw di tutup yang ada cicilan mobil rumah pada puyeng semua
2023-10-05T20:27:19Z,@defa113,"Alhamdulillah kerja bagus buat pemerintah, yang jual banyak flexing memamerkan orderan penghasilan 😅😂 Udah mendingan balik ke mode awal joged joged 🤣😂🐷💩"
2023-10-05T17:36:54Z,@marofficial5339,Dimana keadilan ini
2023-10-05T17:07:06Z,@Zakariahhadi,Alhamdulillah semoga UMKM Indonesia bisa jalan lagi terutama yang offline
2023-10-06T01:27:46Z,@HardyOkeyyy-yr3xd,Alhamdulillah puji tuhan
2023-10-05T15:43:28Z,@azrumhe,"Maaf ,di inggris sudah dilarang dan biasa saja"
2023-10-05T13:32:43Z,@sitiridwan7310,❤terimakasih tiktok ditutup❤.. Aku masih cinta indonesiaku❤
2023-10-05T11:25:51Z,@user-ln1pp8hn7d,"KAMI ANAK MUDA DIGITALISASI SANGGUP BERKOMPETISI DENGAN KEMAJUAN JAMAN, KAMI BUKAN ANAK CENGENG APAPUN KONDISINYA KAMI AKAN SELALU FIGHT MESKI BANYAK YANG TIDAK SUKA DENGAN CARA KAMI BEKERJA, SAMA KAYA DULU OJOL DI KOMPLAIN SAMA OPANG SEE U DI APLIKASI LAIN NYA SEE U PARA UMKM OFFLINE SAMPAI KETEMU DI TITIK TAKDIR YANG BAIK MENURUT TUHAN"
2023-10-05T08:29:11Z,@user-pf8jb8po9h,kenapa harus di tutup tiktokshop warga senang dengan tiktokshop ada
2023-10-05T07:57:59Z,@POKEMONGO-ic9cs,saya mah tutup apa tidak tidak ada ruginya buat saya.. ongkir mahal
2023-10-05T07:11:51Z,@Vijay-xv4kx,Kan masih ada shopee wkwkwk 😁
2023-10-12T01:27:18Z,@hidayatarmanpermana5437,"Shopee, Tokopedia, lazada, Bukalapak dan Blibli"
2023-10-05T06:28:33Z,@bapauda6840,"Blokir saja tiktoknya  sekalian,tontonan merusak moral anak2"
2023-10-17T06:20:31Z,@cargiewinata1963,Tiktok joget joget dolo
2023-10-05T06:16:14Z,@bapauda6840,"Tutup tiktok, tidak perlu lagi ada tiktok shop, dan online shop lainnya harus diperhatikan harganya, online harus bayar pajak  yang tinggi, harus ada ongkir, dan produsen tidak boleh jualan di online, diecer, harga grosir, gratis ongkir pula"
2023-10-05T06:52:18Z,@nozerumahgaya,"saya sebagai pelaku UMKM sangat setuju,untuk menjaga harga agar tetep stabil alangkah bagusnya klo online shope di kenai pajak tetapi sewajar nya saja untuk pajak nya,jadi tidak saling memberatkan sebagai penjual online dan penjual offline"
2023-10-07T05:36:53Z,@desinovitasari2854,Ini zaman modern apa harus Papua datang ke Jakarta belanja kenapa online ditutup semua
2023-10-05T06:10:36Z,@bapauda6840,"Kasihan pedagang yang sudah sewa toko sepi, gara2 tiktok, harga murah bikin hancur umkm, barang cina banjir, konveksi banyak yang gulung tikar, ingat pertukaran uang tidak merata,parahnya lagi produsen ikut jualan di online"
2023-10-17T06:20:02Z,@cargiewinata1963,Mereka beli di Alibaba kali bukan dari orang Indonesia langsung dari website orang luar Alibaba
2023-10-05T06:04:48Z,@yayatsupriatna9612,"Dampaknya bukan hanya seller juga tetapi kurir yang sudah bekerjasama dengan tiktok juga terdampak, tanah abang cuma ribuan orang tiktok jutaaan orang yang terdampak…"
2023-10-08T16:54:37Z,@adonkiting889,"Inilah ciri2 manusia tidak tau apa2 ekonomi indonesia,hanya mikir kan ekonomi perut nya sendiri. Fikir!!"
2023-10-05T05:56:14Z,@namina5005,"Ini fair menurutku, karena kalo ada di ecommerce yang resmi jelas mereka yang buka ecommerce tersebut adalah orang yang benar2 akan membeli sesuatu. Kalau di tiktok kan tidak, awalnya cuma sekedar nonton2 saja karena pas geser2 ada yang jualan jadi belanja deh."
2023-10-05T05:53:33Z,@yuliazidane7792,Jujur untuk emak2 kayak aku kecewa banget tiktokshop ditutup.. karena tidak perlu rempong panas2n bawa anak2 ke pasar buat belanja... Dan tentunya belanja di offline jauh besar ongkosnya...  Tetapi gapapa masih ada shopee dan lazada .. Intinya malsa banget belanja kudu nyamperin toko..
2023-10-05T05:51:08Z,@oktara8532,"Ngelive kaum milenial, masa tidak bisa bedain mana yang legal mana yang illegal. Pindah aja ke platform yang sudah resmi. Kayak mau kiamat aja"
2023-10-05T05:45:25Z,@user-fe2nn8zc2h,"Tiktokshop pedagangnya  hanya anak muda..Sedangkan di pasar jarang anak mudanya,anak mudanya kerjanya pengen enak cuma duduk dan ngomong..Sedangkan ibu ibu bapak bapak di pasar,harus bersabar nunggu pembeli..Bagus tiktokshop di hapus kasihan ibu ibu dan bapak bapak di pasar.."
2023-10-05T05:41:50Z,@benibeni7457,"Mantap.  Setuju. Bangetttttt    ditutup. ,  biar. Indonesia. tidak. Di jajah terus"
2023-10-05T05:39:06Z,@hellenleong7837,Pemerintah tidak berani bikin aturan buat koruptor 🤣🤣🤣😇😇😇
2023-10-05T05:53:35Z,@dvinostory2154,Tinggalnya satu kolam masalahnya
2023-10-05T05:38:02Z,@rajekkynsasmita4440,Artis tajir melintir...ikut ikutan sih...jadi ya titokshop dapat imbas ya ...🥴🥴🤣
2023-10-05T05:27:39Z,@ramdanipermana3763,saya bodo amat  karna saya dari dulu tidak maen tiktok 😂
2023-10-05T05:14:34Z,@rinalrinaldi-nv4vb,Aku sebagai petani aku setuju jual  online di tutup jualan nya tidak sehat dia jual barang terlalu murah harga tidak masuk akal.monopoli
2023-10-05T05:07:31Z,@saripable,LEBAY AH
2023-10-05T05:05:38Z,@sitiasiah1305,Bye bye yuk pindah lapak
2023-10-05T06:08:23Z,@oktara8532,Nah itu masih banyak lapak. Si oren juga ada live nya
2023-10-05T05:01:55Z,@aidilani8537,Kamu suruh orang bayangin.coba kamu bayangin yang di pasar yang jadi korban.
2023-10-05T04:57:41Z,@Sahroni-iq4dt,Saya heran kenapa bingung!!!?wadah buat jualan banyak sopee lazada dll
2023-10-05T04:55:47Z,@Sahroni-iq4dt,Saya tidak pernah beli lewat tiktok
2023-10-08T16:56:15Z,@adonkiting889,Sama
2023-10-05T04:55:13Z,@hendriyahya7995,Kenapa harus jualan di tiktok? Kan ada marketplace lainnya? Kalo produk kamu sudah terkenal dan harga bisa bersaing kenapa takut ya tidak? Konsumen pasti nyari kemanapun kamu pindah.
2023-10-05T04:49:31Z,@cellglassr1484,"Cari yang lain ecommersnya,"
2023-10-05T04:39:57Z,@unknow3395,"Tiktokshop hanya menggiur barang2 viral dan gratis ongkir seperti sambel ,coklat chrunci , baso aci😂"
2023-10-05T04:38:31Z,@anggatshu10,Bagus lah kalau di tutup.. Wkwkwkwk.. 🤣
2023-10-05T04:27:32Z,@bulle3382,Ya kamu jualan  lah di pasar tanah abang...ngapain sampe perusahaan sampe buruh kejauhan gaes ngomongnya
2023-10-05T04:26:42Z,@bulle3382,Hanya gara2 1 pasar tiktok yang ngayomin warga banyak bisa di tutup
2023-10-05T04:22:46Z,@palmacampursari1124,Syukurin
2023-10-05T04:18:45Z,@dayrinexploring5429,Bagus deh tiktok shop di tutup meresahkan aja
2023-10-05T04:09:57Z,@bocil838,setelah saya tau tiktokshop di larang saya semakin malas beli produk UMKM
2023-10-05T04:21:05Z,@nasannurjaman6004,
2023-10-05T09:18:04Z,@pashaphonsel1209,Sy malah semakin cinta UMKM
2023-10-05T10:55:09Z,@bocil838,ngapain beli lokal bagus kaga mahal iya saya sebagai pembeli yang cerdas malah ngerasa rugi beli barang umkm
2023-10-05T04:03:43Z,@RagilGiela-uk9fp,Hore merdeka...mampuzzzzz
2023-10-05T03:35:20Z,@zlacvy,enakan belanja di tiktokshop...
2023-10-05T03:21:58Z,@ahmadardiyansah167,Alhamdulillah di tutup
2023-10-05T02:19:01Z,@irwankurniawan886,Banyak yang kaya mendadak di tiktokshop. Giliran di tutup merasa seolah-olah jatuh miskin..
2023-10-05T20:44:37Z,@anggasadewa1305,Pusing pada bayar cicilan karena kaya mendadak gara gara tiktok waww
2023-10-08T07:17:47Z,@worstnetizenbasedonmicroso653,"Di twitter berseliweran info, katanya orang-orang yang hadir di streamingnya live tiktok mostly adalah fake buyer yang dibayar sama si streamer tersebut. Jadi mereka cuma ngeramein acara saja buat bikin orang penasaran. Jadi nominal pendapatan milyaran itu cuma ilusi, bukan beneran income. Parah sih kalo itu beneran. Bikin persaingan bisnis tidak sehat."
2023-10-17T06:18:24Z,@cargiewinata1963,Titokshop kalahnya sama jemput bola
2023-10-05T01:56:05Z,@J_Oppenheimer,Ditutup demi pedagang tanah abang agar bisa kaya raya kembali...😢
2023-10-05T04:32:28Z,@faisalnahdi3804,"bukan .. ini pemerintah ngambil jalan tengah. Dan bukan ditutup, tetapi ada regulasinya kedepan. kalau dibiarkan khawatir akan adanya monopoli perdagangan dari China. Yang terkena imbas bakal menyeluruh ke semua lapisan rakyat indonesia. Sekarang ini baru di permukaan (imbas hanya ke UMKM)"
2023-10-05T04:37:22Z,@BillyManson-oe2sb,Maen2 ke pasar tradisional lain .. kasihan deh ngeliat pedagang2...
2023-10-05T07:23:55Z,@bocil838,iya kasihan hidupnya tidak ngikutin zaman dan malah memakai cara zaman purba sebaiknya orang yang kaya gitu di air keras dan di museum kan
2023-10-05T07:42:15Z,@BillyManson-oe2sb,Kemajuan zaman diikuti dengan keseimbangan...kalau hanya maju tanpa adanya keseimbangan juga kurang tepat…
2023-10-05T08:23:19Z,@bocil838,zaman diikuti dengan  belajar tergantung sdm nya mau belajar atau tidak
2023-10-04T23:16:41Z,@bearbrand7465,"Kembali ke pasar tradisional adalah yang terbaik. Untuk menjaga stabilitas perekonomian nasional. Yok kembali ke pasar, kalau dengan tiktok live hanya akan menguntungkan sebagian kecil pihak saja. Tetapi dengan pasar tradisional akan menguntungkan lebih banyak pihak. Terima kasih pak mendag"
2023-10-05T00:16:03Z,@phuncek,"Jumlah pedagang online sekarang lebih banyak dari pedagang pasar ya. Itu tanah abang sudah pada kaya semua, sudah jualan berapa lama mereka? Puluhan tahun loh. Ini yg jualan di tiktok aja belum lewat 2 tahun. Zaman skrg uda canggih n serba digital, yg harus dipikirkan itu masa depan Lagian pedagang pasar itu jualnya mahal banget. Harusnya pedagang pasar itu yang melek digital"
2023-10-05T00:21:51Z,@bearbrand7465,"kan pendapat pribadi saya pasti ada yang setuju ada yang tidak. Tetapi kalau dilihat dari KEPUTUSAN PEMERINTAH dan KEBANYAKAN KOMENTAR NETIZEN, sori bro kayaknya pendapat saya benar. Pemerintah pasti akan mengambil kebijakan yang LEBIH MENGUNTUNGKAN BANYAK pihak. Selain itu menurutku sebagian besar pedagang indo belum melek teknologi, jadi ya untuk sekarang memang harus DIATUR lagi. Ketika sebagian besar sudah melek teknologi baru aturannya dirubah lagi, semua ada prosesnya bro. Mungkin saya bukan pakar ekonomi, tetapi itu pendpat saya. 1 lagi, Komentar boleh, tetapi tidak usah soksokan merendahkan orang lain bro. Pakai bilang saya egois dan terbelakang🙁"
2023-10-05T00:33:16Z,@phuncek,"anda kan tahu saat ini banyak yang berduka karena tiktokshop ditutup, menurut anda pendapat anda benar itu atas dasar apa? Pembenaran sendiri?Oke saya minta maaf atas komen saya tadi. Semestinya saya harus hargai pendapat anda Saya ralat jadi : apakah anda pedagang online yang berhasil berkat adanya tiktok? anda orang yang sudah terkena phk dan kemudian bangkit karena tiktok?, anda orang yang bisnisnya hancur karena pandemi kemudian bangkit karena tiktok? boleh tidak saya ngeluarin statement begitu? Tentu pasti kurang tepat karena saya tidak di posisi anda. Zaman sudah canggih dan digital sekarang, anak muda penerus bangsa mana yang tidak pakai smartphone? Pasti kebanyakan pengennya mudah sekarang. kemudian katanya tinggal pindah jualan ke marketplace lain. Segampang itukah???Saya jualan di toped, kalau tidak ngeluarin biaya iklan tidak bakal ada orderan, shopee juga sama. Kadang sudah ngeluarin biaya iklan adanya malah rugi. Dan dengan umur saya sekarang sudah susah cari kerja, harapan saya sebagai pedagang kecil yang tidak sanggup sewa ruko/lapak dipasar, bermodal kecil harus gimana?"
2023-10-05T00:41:16Z,@phuncek," kalau pemerintah mau blokir, jangan ngasi waktu seminggu. Nasib kami gimana? Pemerintah ada kasi solusi tidak? Harusnya yang diregulasi itu barang import tidak resmi yang dijual di tiktokshop dan peraturan produsen yang tidak boleh jualan langsung di marketplace. Kalau soal promo dan bakar duit, toped dan shopee dulu juga pernah. Kalau soal perizinan tinggal di urus, kalau soal ecommer dan sosmed tidak bisa dijadiin satu malah menurut saya ini inovasi, tinggal buat aturan kalau konten yang harus didahulukan itu produk dalam negeri dan bantu majukan produk lokal. Bukan langsung blokir gini. Banyak pedagang sudah siapin promo, dana dan sewa influencer untuk program2 jualannya dan bahkan banyak yang import secara resmi untuk dijual. Saya ini bukan importir ya, cuman pedagang kecil pengecer di online, saya ambil barang sama agen di kota saya, sama distributor di glodok, mangga dua dan itc mangga dua, sama distributor di tanggerang, sama produsen sepatu dalam negeri juga. Belinya ecer2 dikit2. Makanya saya kesal, saya tidak jual barang import tidak resmi langsung dari tiongkok"
2023-10-05T01:30:00Z,@ariekayaorang926,"Pasar tradisional tidak mau intropeksi diri dan kayak preman playing victim. Parkir liar, ditawar penuh drama, maksa beli, copet dimana2,kumuh, apanya yang mau dibenahi kalau pola pikirnya tetap aja pra sejarah !"
2023-10-04T23:14:10Z,@pocongkpop732,Wajar saja di hapus..Kebanyakan Artis udah tajir melintir masih ikutan jualan live banting harga lagi...
2023-10-17T06:22:50Z,@cargiewinata1963,"Mungkin dia live tujuan nya bukan semata mata uang tapi pamor dia kalo Mangkin naik nanti bakalan di undang ke acara acara tv atau di sinetron, bukan uang tetapi pamor emang kamu tidak paham gerak gerik mereka??"
2023-10-04T23:06:58Z,@nurkhasanah5265,"Bagus deh di tutup,emang pemerintah harus ambil tindakan,banyak olshop yang lain,kalau mau kembangkan usaha kalian kan sudah ada wadahnya ,jangan yang di pikirin keuntungan saja,tetapi pikirin juga UMKM yang lain kaya pasar tradisional dan yang lain, memang tiktok mersahkan dari awal muncul"
2023-10-05T00:18:17Z,@phuncek,Pasti anda bukan pedagang online makanya komennya gini
2023-10-05T00:43:11Z,@nurkhasanah5265,"Saya jualan online tapi tidak mau nyerobot kayak begitu,Karena saya yakin dengan rejeki saya"
2023-10-05T00:48:46Z,@phuncek, masih tidak yakin anda pedagang online maaf
2023-10-04T22:48:26Z,@syarifhidayat527,blokir saja si tiktok nya sekalian
2023-10-05T00:23:33Z,@phuncek,tidak jelas anda
2023-10-05T00:50:02Z,@ofickgamesz269,tidak Jelas kamu komen Atas
2023-10-04T22:16:33Z,@user-np6mm3jj6l,UUURRRRAAAAAAAAAA.
2023-10-04T22:15:14Z,@user-np6mm3jj6l,"Kalau usaha itu harus punya toko atau ruko,.jangan mau enak saja dagang di online, modal dong jangan mau enak saja."
2023-10-05T00:19:44Z,@phuncek,Jadi kalau modal kecil tidak boleh buka usaha? Zaman sekarang sudah dipermudah kok anda malah sewot? Padahal sudah dipermudah dengan adanya kesempatan online
2023-10-05T02:03:33Z,@J_Oppenheimer,"Saya seller di onlineshop juga punya toko boss dan gudang offline, emangnya kalau penjual online tidak punya modal gitu? Itu barang dagangan bisa terbang secara ghoib kerumah konsumen gitu? Emng dikira jualan dionline tidak dipotong fee, iklan, biaya layanan dll gitu? Makanya belajar bos jualan jangan cuma duduk manis menunggu pembeli, kan ada fasilitas marketplace dimanfaatkanlah jangan banyak alasan babibu"
2023-10-05T09:42:29Z,@user-np6mm3jj6l,Tutup juga toko online yang sering menjatuhkan harga pasar segera.
2023-10-07T05:39:08Z,@desinovitasari2854,Makanya jualan ya biar tau kami pake paket juga kami punya bayi yang mau diurus.  Suami kami gaji kecil liat dari 2 kacamata ya 
2023-10-04T20:33:55Z,@beesclub9317,Rezeki udah ada yang ngatur
2023-10-04T20:09:57Z,@telolet6782,Sebelum ditutup sepatutnya dibincangkan dengan. teliti dulu dibuat batas waktu biar semua seller buyer win win solution
2023-10-04T17:14:06Z,@FathulLuay,Alhamdulillah tiktokshop di tutup
2023-10-05T00:20:44Z,@phuncek,Pedagang tanah abang ya?
2023-10-04T16:37:28Z,@rodhifa,"Untung saya sudah banyak menikmati voucher di tiktokshop.... kalau ditutup ya sudahlah, tiktok pemain baru, pantas harganya murah²,,, sama seperti shopee pertama belanja di shopee di tahun 2017, semuanya murah, banyak diskonnya, bahkan saya pernah meletus balon check-in dapat 100rb koin.,,, sekarang hanya dapat 10 koin... jauh banget."
2023-10-04T15:47:32Z,@febbynurzamilah556,Setuju
2023-10-04T13:36:47Z,@desinatalia5431,enak belanja di tiktok karena banyak diskonnya...kalau sudah di tab2 banyak dapat diskonnya...suka belanja di tiktokshop tidak pernah kecewa
2023-10-04T12:30:55Z,@irwandepriyanto2778,Apakah tiktikshop tidak bayar pajak kah..
2023-10-04T15:49:39Z,@habibirezi8760,Bener Ini harusnya ada pajak setiap penjualannya ..
2023-10-07T04:45:57Z,@BlackDiamond-sw8lo,bayar dong. sejak keluar dari pabrik juga sudah bayar.
2023-10-04T12:28:10Z,@Evisoebank7980,Alhamdulilah akhirnya 🎉
2023-10-04T12:15:42Z,@AchmadmuftiN,Gegara tiktokshop di banyak yang nganggur + pasti ada tim di PHK
2023-10-04T15:31:40Z,@rapneverdie21,lebay ah. lebih kasian pedagang2 konvensional yang sudah bayar ruko tpi pada sepi gara2 tiktok
2023-10-04T12:14:58Z,@user-lr5qj9sr7m,jadi kak kalau udah pesanan dalam perjalanan apakah tetap sampai karena tiktok shop di hapus
2023-10-04T12:28:18Z,@agungasmoro-ud4my,La itu yang jadi pertanyaan
2023-10-04T12:13:52Z,@nafisahkhayla1258,Rejeki bukan dari tiktok
2023-10-04T11:56:02Z,@oreocrisppul1386,Tutup
2023-10-04T11:52:17Z,@HanyaManusiaBiasa-kl4fo,Tiktokshop ditutup. Bagus sekali. Tetapi pasar konvensional gimana kabar sekarang? Sudah membludak kah?
2023-10-04T22:39:29Z,@schonheithartmann5689,Alhamdulillah sudah mulai.
2023-10-05T00:23:58Z,@phuncek,buktinya?
2023-10-05T02:05:55Z,@J_Oppenheimer,"Alhamdulilaah.. hari ini pasar tanah abang ramai sekali,, antriannya panjang mebludak sampai keluar pasar.."
2023-10-05T04:52:22Z,@nurita9959,"Sudah rame kembali pasar tradisional, mantap pemerintah"
2023-10-04T11:47:13Z,@IntEntertainments,Kok bisa ya
2023-10-04T11:31:31Z,@indo631,saya termasuk tim yabg setuju tiktokshop ditutup..!! Kasian pedagang aslinya..
2023-10-04T11:54:30Z,@naturaworld8322,Dikira yang jualan ditiktok makhluk ghaib
2023-10-04T19:28:34Z,@mikiterbang1225,​emang goib harga tidak ngotak😂😂
2023-10-05T00:56:40Z,@phuncek,Pedagang aslinya maksutnya yang gimana bang?
2023-10-04T11:14:03Z,@rapiudinaye1768,Pasar makin sepi ...
2023-10-04T11:07:16Z,@dayatsyarif4144,Tiktok ngerusak harga
2023-10-04T10:36:29Z,@nayadibachannel,Jadi sedih
2023-10-04T10:28:07Z,@rahasiakanaku4065,"ketika sudah menjadi habit lalu pemerintah maunya tiktok diregulasi, baru juga mulai lagi kerja gegara covid kemarin, eh mau nganggur lagi aja..negara Indonesia kebanyakan bercanda 🥺😒"
2023-10-04T11:22:48Z,@rra2931,"Pasti kamu warga tiktok😂😂😂 , ini udah termasuk masalah ekonomi kritis , kalau barang yang dijual barang lokal gamasalah ini barang impor yang harganya murah kalau tidak ditutup produk indonesia bakal tidak ada , terus kalau udah tidak ada produk lokal harga di tiktok bakal dinaikkan drastis karena tidak ada kompetitor"
2023-10-05T00:56:05Z,@phuncek, yang diubah itu harusnya aturan jual barang import tidak resminya dan buat program majuin produk lokal. Bukan ditutup aplikasinya
2023-10-04T10:25:52Z,@ramlanwijaya2909,Ya yg udh beli ruko sewa toko lbh sedih .
2023-10-05T00:20:27Z,@phuncek,Kalau sudah bisa beli/sewa ruko pasti sudah mikir resikonya
2023-10-05T10:43:33Z,@putraborneo591,"Padahal tiktokshop itu sangat memantu para UMKM,,orang orang pasar saja masih primitiv,tidak mengikuti perkembangan zaman,,aneh juga menteri indo ini,,,"
2023-10-04T22:48:34Z,@user-np6mm3jj6l,UUUUUUURRRRRRAAAAAAAA
2023-10-04T11:10:30Z,@RedmiTapin-uj9ow,"tidak ada Lagi yang murah ,,,di pasar jualan mahal terlalu tinggi mencari untung...beli murah jualan mahal kalau di pasar pasar"
2023-10-04T05:05:07Z,@user-nt3fw7yz2o,"Bodoh,  tidak sekalian penggunaan henpon di larang sekalian. jangan sok berpengusa"
2023-10-03T14:19:58Z,@user-mw1dr8ex1p,"Serius nanya UMKM itu pendagang offline aja ya, terus yang jualan online itu tidak termasuk UMKM?"
2023-10-03T05:10:58Z,@maurazahra-rv3mf,"Saya S1 tingal di pelosok, mencari kerja di negara ini sangat susah banyak persaingan dan orang dalam, pernah kepikiran juga buat merantau ke luar negeri, tapi masih saja di persulit dalam hal administrasi, seperti KTP, KK, Paspor dan sebagainya, kalau ada uang baru semuanya lancar. Saya berusaha bisnis baju secara Offline tapi tidak ada yang beli soal-nya saya hidup di pelosok jadi daya beli masyarakat nya rendah, Tapi setelah adanya Tiktokshop dan sejenianya,. Saya mulai mencoba berjualan online dan hasilnya lumayan karna jangkauan promosin barang saya lebih luas dan alhamdulillah setiap hari ada aja yang beli. Dan mendengar kebijakan dari pemerintah akan menutup Tiktokshop saya merasa sangat kecewa dan bingung mau jualan dimana sedangkan pelanggan saya mengenal saya dari tiktok semua. Dan yang buat saya lebih marah lagi, itu menteri ngeluarin kebijakan cuma karena tanah abang sepi anjing, tapi dia tidak melihat kami yang ada di pelosok negeri selalu UMKM yang sudah berhasil memasarkan produknya secara online. Saya juga bingung kalian Pelaku UMKM yang andai di Ibu kota teruntuk UMKM yang ada di tanah abang seharusnya lebih pintar untuk memanfaatkan Media sosial dari pada kami yang dari pelosok. Kalau begini jadinya yang kurang pendidikan kami orang kampung yang penuh keterbatasan atau kalian orang kota yang penuh dengan pasilitas...? Mikir Dan untuk pak menterinya saya curiga dia gotot memperjuangkan Pelaku UMKM tanah abang untuk menarik suara buat partainya saja... MUNGKINNNNN..... 😁"
2023-09-29T11:02:59Z,@lancup4069,Alhamdulilah
2023-09-29T06:37:01Z,@user-wv3nt3zt6v,Keranjang kuning kok masih ada ya
2023-09-27T19:47:31Z,@Desong581,Saya setuju tiktokshop ditutup.. karena banyak artis yang ikut²an jualan... kasihan pedagang² kecil kalah saing
2023-09-27T12:08:26Z,@sungaikaras5338,"sebagai pembeli didengar juga tidak keluhannya pak?yang offline suka pasang harga seenak jidatnya, yang online+ongkir malah lebih murah."
2023-09-27T06:35:44Z,@MATTADUNIA,Efek samping orderannya banyak lalu di posting 😅
2023-09-27T06:33:22Z,@MATTADUNIA,"Coba pinjol itu dihapus,"
2023-09-27T05:32:40Z,@shintarahmawati5091,"Kalau aku sii bukan gamau beli di toko tapi memang di online shop itu lebih murah dan harga nya jauh beda dengan beli toko padahal kadang sama aja barang nya , memang mereka juga ingin mendapatkan untung tapi jauh bgt untung nya smpe 50/100 kalau di online shop walupun pake ongkir tetap murah beda harga nya kalo di toko . Belum lagi nanti si penjual bilang segitu karyawan ngarah untung lagi di tambahin lagi harga nya.  Menjerit banget jadi nya"
2023-09-27T23:32:15Z,@user-xl7nn7mk1r,Iya tapi UMKM dalam negeri hancur.
2023-09-26T23:05:03Z,@heria99,Wah gue dah pasive income dih tiktok kok mala ditutup memanglah baru beberapa hari ini turun drastis pendapatan affiliasi saya dari 7 ratusan sekarang 3 4 ratusan rabu / hari moga2  batal dah
2023-09-26T16:22:16Z,@engkoskosasih3870,Jabatan hadiah tanpa pengetahuan ya jadi keblinger
2023-09-26T16:21:02Z,@engkoskosasih3870,Kumpulan bajingan asbun urusin harga tuh
2023-09-26T16:09:09Z,@efendysinaga,tidak mampu bersaing akhirnya melarang
2023-09-26T14:53:45Z,@adyleo994,Saya setuju tiktokshop di larang di tutup
2023-09-26T11:37:25Z,@jackkelvinchannel44,Gampang pindah aja ke fb reel
2023-09-26T11:21:28Z,@lordhanzo06,Tiktok hapus pindah jualan ke shopee live 🤣 mampus tidak dapet pajak lagi para koruptor 🤣🤣🤣
2023-09-26T11:14:59Z,@lordhanzo06,"Disaat negara maju mikir maju ,negara ini mikir mundur . Mending ngurusin pegawai pajak yang korupsi .kenapa perpajakan tidak ada uangnya ? Ya karena di korupsi ."
2023-09-26T10:03:13Z,@user-mq3bt5gt2w,Bagus. Lanjutkan. Kalau perlu pasar bebas juga dihapuskan. Cuma satu pedagang kalau sudah jaya jangan semena-mena menaikan harga seenak jidatnya sendiri. Perlu ada HET jadi harga wajar dan bisa diterima semua pihak.
2023-09-26T09:44:18Z,@selamatraharjo1948,
2023-09-26T09:24:48Z,@user-se4ky9wx3g,
2023-09-26T08:42:18Z,@funnyvideos-zk3og,"Kenapa tidak coba tutup semua yang jualan online, kita liat seberapa pengaruh nya terhadap umkm"
