,publishedAt,authorDisplayName,textDisplay,textDisplay_Tokens
12,2023-10-06T15:16:10Z,@ranticepi1862,makanya bayar pajak sekalian saja tiktoknya dihapus di indonesia,makanya bayar pajak sekali saja tiktoknya hapus di indonesia
13,2023-10-06T07:52:50Z,@AntoToken,bangun aplikasi sendiri khususnya mengutamakan produk lokal,bangun aplikasi sendiri khusus utama produk lokal
14,2023-10-05T20:46:32Z,@anggasadewa1305,pusing pusing dan yang orang okb yang baru mau kaya gara gara aplikasi tiktok waw di tutup yang ada cicilan mobil rumah pada puyeng semua,pusing pusing dan yang orang okb yang baru mau kaya gara gara aplikasi tiktok waw di tutup yang ada cicil mobil rumah pada puyeng semua
15,2023-10-05T20:27:19Z,@defa113,alhamdulillah kerja bagus buat pemerintah yang jual banyak flexing memamerkan orderan penghasilan udah mendingan balik ke mode awal joged joged ,alhamdulillah kerja bagus buat perintah yang jual banyak flexing pamer order hasil udah mending balik ke mode awal joged joged
16,2023-10-05T17:36:54Z,@marofficial5339,dimana keadilan ini,mana adil ini
17,2023-10-05T17:07:06Z,@Zakariahhadi,alhamdulillah semoga umkm indonesia bisa jalan lagi terutama yang offline,alhamdulillah moga umkm indonesia bisa jalan lagi utama yang offline
18,2023-10-06T01:27:46Z,@HardyOkeyyy-yr3xd,alhamdulillah puji tuhan,alhamdulillah puji tuhan
19,2023-10-05T15:43:28Z,@azrumhe,maaf di inggris sudah dilarang dan biasa saja,maaf di inggris sudah larang dan biasa saja
20,2023-10-05T13:32:43Z,@sitiridwan7310,terimakasih tiktok ditutup aku masih cinta indonesiaku,terimakasih tiktok tutup aku masih cinta indonesia
21,2023-10-05T11:25:51Z,@user-ln1pp8hn7d,kami anak muda digitalisasi sanggup berkompetisi dengan kemajuan jaman kami bukan anak cengeng apapun kondisinya kami akan selalu fight meski banyak yang tidak suka dengan cara kami bekerja sama kaya dulu ojol di komplain sama opang see u di aplikasi lain nya see u para umkm offline sampai ketemu di titik takdir yang baik menurut tuhan,kami anak muda digitalisasi sanggup kompetisi dengan maju jaman kami bukan anak cengeng apa kondisi kami akan selalu fight meski banyak yang tidak suka dengan cara kami kerja sama kaya dulu ojol di komplain sama opang see u di aplikasi lain nya see u para umkm offline sampai ketemu di titik takdir yang baik turut tuhan
22,2023-10-05T08:29:11Z,@user-pf8jb8po9h,kenapa harus di tutup tiktokshop warga seg dengan tiktokshop ada,kenapa harus di tutup tiktokshop warga seg dengan tiktokshop ada
23,2023-10-05T07:57:59Z,@POKEMONGO-ic9cs,saya mah tutup apa tidak tidak ada ruginya buat saya ongkir mahal,saya mah tutup apa tidak tidak ada rugi buat saya ongkir mahal
24,2023-10-05T07:11:51Z,@Vijay-xv4kx,kan masih ada shopee wkwkwk ,kan masih ada shopee wkwkwk
25,2023-10-12T01:27:18Z,@hidayatarmanpermana5437,shopee tokopedia lazada bukalapak dan blibli,shopee tokopedia lazada bukalapak dan blibli
26,2023-10-05T06:28:33Z,@bapauda6840,blokir saja tiktoknya sekalian tonto merusak moral anak ,blokir saja tiktoknya sekali tonto rusak moral anak
27,2023-10-17T06:20:31Z,@cargiewinata1963,tiktok joget joget dolo,tiktok joget joget dolo
28,2023-10-05T06:16:14Z,@bapauda6840,tutup tiktok tidak perlu lagi ada tiktok shop dan online shop lainnya harus diperhatikan harganya online harus bayar pajak yang tinggi harus ada ongkir dan produsen tidak boleh jualan di online diecer harga grosir gratis ongkir pula,tutup tiktok tidak perlu lagi ada tiktok shop dan online shop lain harus perhati harga online harus bayar pajak yang tinggi harus ada ongkir dan produsen tidak boleh jual di online ecer harga grosir gratis ongkir pula
29,2023-10-05T06:52:18Z,@nozerumahgaya,saya sebagai pelaku umkm sangat setuju untuk menjaga harga agar tetep stabil alangkah bagusnya klo online shope di kenai pajak tetapi sewajar nya saja untuk pajak nya jadi tidak saling memberatkan sebagai penjual online dan penjual offline,saya bagai laku umkm sangat tuju untuk jaga harga agar tetep stabil alangkah bagus klo online shope di kena pajak tetapi wajar nya saja untuk pajak nya jadi tidak saling berat bagai jual online dan jual offline
30,2023-10-07T05:36:53Z,@desinovitasari2854,ini zaman modern apa harus papua datang ke jakarta belanja kenapa online ditutup semua,ini zaman modern apa harus papua datang ke jakarta belanja kenapa online tutup semua
31,2023-10-05T06:10:36Z,@bapauda6840,kasihan pedagang yang sudah sewa toko sepi gara tiktok harga murah bikin hancur umkm barang cina banjir konveksi banyak yang gulung tikar ingat pertukaran uang tidak merata parahnya lagi produsen ikut jualan di online,kasihan dagang yang sudah sewa toko sepi gara tiktok harga murah bikin hancur umkm barang cina banjir konveksi banyak yang gulung tikar ingat tukar uang tidak rata parah lagi produsen ikut jual di online
32,2023-10-17T06:20:02Z,@cargiewinata1963,mereka beli di alibaba kali bukan dari orang indonesia langsung dari website orang luar alibaba,mereka beli di alibaba kali bukan dari orang indonesia langsung dari website orang luar alibaba
33,2023-10-05T06:04:48Z,@yayatsupriatna9612,dampaknya bukan hanya seller juga tetapi kurir yang sudah bekerjasama dengan tiktok juga terdampak tanah abang cuma ribuan orang tiktok jutaaan orang yang terdampak,dampak bukan hanya seller juga tetapi kurir yang sudah bekerjasama dengan tiktok juga dampak tanah abang cuma ribu orang tiktok jutaaan orang yang dampak
34,2023-10-08T16:54:37Z,@adonkiting889,inilah ciri manusia tidak tau apa ekonomi indonesia hanya mikir kan ekonomi perut nya sendiri fikir,ini ciri manusia tidak tau apa ekonomi indonesia hanya mikir kan ekonomi perut nya sendiri fikir
35,2023-10-05T05:56:14Z,@namina5005,ini fair menurutku karena kalo ada di ecommerce yang resmi jelas mereka yang buka ecommerce tersebut adalah orang yang benar akan membeli sesuatu kalau di tiktok kan tidak awalnya cuma sekedar nonton saja karena pas geser ada yang jualan jadi belanja deh,ini fair turut karena kalo ada di ecommerce yang resmi jelas mereka yang buka ecommerce sebut adalah orang yang benar akan beli sesuatu kalau di tiktok kan tidak awal cuma dar nonton saja karena pas geser ada yang jual jadi belanja deh
36,2023-10-05T05:53:33Z,@yuliazidane7792,jujur untuk emak kayak aku kecewa banget tiktokshop ditutup karena tidak perlu rempong panas n bawa anak ke pasar buat belanja dan tentunya belanja di offline jauh besar ongkosnya tetapi gapapa masih ada shopee dan lazada intinya malsa banget belanja kudu nyamperin toko,jujur untuk emak kayak aku kecewa banget tiktokshop tutup karena tidak perlu rempong panas n bawa anak ke pasar buat belanja dan tentu belanja di offline jauh besar ongkos tetapi gapapa masih ada shopee dan lazada inti malsa banget belanja kudu nyamperin toko
37,2023-10-05T05:51:08Z,@oktara8532,ngelive kaum milenial masa tidak bisa bedain mana yang legal mana yang illegal pindah aja ke platform yang sudah resmi kayak mau kiamat aja,ngelive kaum milenial masa tidak bisa bedain mana yang legal mana yang illegal pindah aja ke platform yang sudah resmi kayak mau kiamat aja
38,2023-10-05T05:45:25Z,@user-fe2nn8zc2h,tiktokshop pedagangnya hanya anak muda sedangkan di pasar jarang anak mudanya anak mudanya kerjanya pengen enak cuma duduk dan ngomong sedangkan ibu ibu bapak bapak di pasar harus bersabar nunggu pembeli bagus tiktokshop di hapus kasihan ibu ibu dan bapak bapak di pasar,tiktokshop dagang hanya anak muda sedang di pasar jarang anak muda anak muda kerja ken enak cuma duduk dan ngomong sedang ibu ibu bapak bapak di pasar harus sabar nunggu beli bagus tiktokshop di hapus kasihan ibu ibu dan bapak bapak di pasar
39,2023-10-05T05:41:50Z,@benibeni7457,mantap setuju bangetttttt ditutup biar indonesia tidak di jajah terus,mantap tuju bangetttttt tutup biar indonesia tidak di jajah terus
40,2023-10-05T05:39:06Z,@hellenleong7837,pemerintah tidak berani bikin aturan buat koruptor ,perintah tidak berani bikin atur buat koruptor
41,2023-10-05T05:53:35Z,@dvinostory2154,tinggalnya satu kolam masalahnya,tinggal satu kolam masalah
42,2023-10-05T05:38:02Z,@rajekkynsasmita4440,artis tajir melintir ikut ikutan sih jadi ya titokshop dapat imbas ya ,artis tajir melintir ikut ikut sih jadi ya titokshop dapat imbas ya
43,2023-10-05T05:27:39Z,@ramdanipermana3763,saya bodo amat karna saya dari dulu tidak maen tiktok ,saya bodo amat karna saya dari dulu tidak maen tiktok
44,2023-10-05T05:14:34Z,@rinalrinaldi-nv4vb,aku sebagai petani aku setuju jual online di tutup jualan nya tidak sehat dia jual barang terlalu murah harga tidak masuk akal monopoli,aku bagai tani aku tuju jual online di tutup jual nya tidak sehat dia jual barang terlalu murah harga tidak masuk akal monopoli
45,2023-10-05T05:07:31Z,@saripable,lebay ah,lebay ah
46,2023-10-05T05:05:38Z,@sitiasiah1305,bye bye yuk pindah lapak,bye bye yuk pindah lapak
47,2023-10-05T06:08:23Z,@oktara8532,nah itu masih banyak lapak si oren juga ada live nya,nah itu masih banyak lapak si oren juga ada live nya
48,2023-10-05T05:01:55Z,@aidilani8537,kamu suruh orang bayangin coba kamu bayangin yang di pasar yang jadi korban,kamu suruh orang bayangin coba kamu bayangin yang di pasar yang jadi korban
49,2023-10-05T04:57:41Z,@Sahroni-iq4dt,saya heran kenapa bingung wadah buat jualan banyak sopee lazada dll,saya heran kenapa bingung wadah buat jual banyak sopee lazada dll
50,2023-10-05T04:55:47Z,@Sahroni-iq4dt,saya tidak pernah beli lewat tiktok,saya tidak pernah beli lewat tiktok
51,2023-10-08T16:56:15Z,@adonkiting889,sama,sama
52,2023-10-05T04:55:13Z,@hendriyahya7995,kenapa harus jualan di tiktok kan ada marketplace lainnya kalo produk kamu sudah terkenal dan harga bisa bersaing kenapa takut ya tidak konsumen pasti nyari kemanapun kamu pindah,kenapa harus jual di tiktok kan ada marketplace lain kalo produk kamu sudah kenal dan harga bisa saing kenapa takut ya tidak konsumen pasti nyari mana kamu pindah
53,2023-10-05T04:49:31Z,@cellglassr1484,cari yang lain ecommersnya,cari yang lain ecommersnya
54,2023-10-05T04:39:57Z,@unknow3395,tiktokshop hanya menggiur barang viral dan gratis ongkir seperti sambel coklat chrunci baso aci,tiktokshop hanya giur barang viral dan gratis ongkir seperti sambel coklat chrunci baso aci
55,2023-10-05T04:38:31Z,@anggatshu10,bagus lah kalau di tutup wkwkwkwk ,bagus lah kalau di tutup wkwkwkwk
56,2023-10-05T04:27:32Z,@bulle3382,ya kamu jualan lah di pasar tanah abang ngapain sampe perusahaan sampe buruh kejauhan gaes ngomongnya,ya kamu jual lah di pasar tanah abang ngapain sampe usaha sampe buruh jauh gaes ngomongnya
57,2023-10-05T04:26:42Z,@bulle3382,hanya gara pasar tiktok yang ngayomin warga banyak bisa di tutup,hanya gara pasar tiktok yang ngayomin warga banyak bisa di tutup
58,2023-10-05T04:22:46Z,@palmacampursari1124,syukurin,syukurin
59,2023-10-05T04:18:45Z,@dayrinexploring5429,bagus deh tiktok shop di tutup meresahkan aja,bagus deh tiktok shop di tutup resah aja
60,2023-10-05T04:09:57Z,@bocil838,setelah saya tau tiktokshop di larang saya semakin malas beli produk umkm,telah saya tau tiktokshop di larang saya makin malas beli produk umkm
62,2023-10-05T09:18:04Z,@pashaphonsel1209,sy malah semakin cinta umkm,sy malah makin cinta umkm
63,2023-10-05T10:55:09Z,@bocil838,ngapain beli lokal bagus kaga mahal iya saya sebagai pembeli yang cerdas malah ngerasa rugi beli barang umkm,ngapain beli lokal bagus kaga mahal iya saya bagai beli yang cerdas malah ngerasa rugi beli barang umkm
64,2023-10-05T04:03:43Z,@RagilGiela-uk9fp,hore merdeka mampuzzzzz,hore merdeka mampuzzzzz
65,2023-10-05T03:35:20Z,@zlacvy,enakan belanja di tiktokshop,enak belanja di tiktokshop
66,2023-10-05T03:21:58Z,@ahmadardiyansah167,alhamdulillah di tutup,alhamdulillah di tutup
67,2023-10-05T02:19:01Z,@irwankurniawan886,banyak yang kaya mendadak di tiktokshop giliran di tutup merasa seolah olah jatuh miskin,banyak yang kaya dadak di tiktokshop gilir di tutup rasa olah olah jatuh miskin
68,2023-10-05T20:44:37Z,@anggasadewa1305,pusing pada bayar cicilan karena kaya mendadak gara gara tiktok waww,pusing pada bayar cicil karena kaya dadak gara gara tiktok waww
69,2023-10-08T07:17:47Z,@worstnetizenbasedonmicroso653,di twitter berseliweran info katanya orang orang yang hadir di streamingnya live tiktok mostly adalah fake buyer yang dibayar sama si streamer tersebut jadi mereka cuma ngeramein acara saja buat bikin orang penasaran jadi nominal pendapatan milyaran itu cuma ilusi bukan beneran income parah sih kalo itu beneran bikin persaingan bisnis tidak sehat,di twitter seliwer info kata orang orang yang hadir di streamingnya live tiktok mostly adalah fake buyer yang bayar sama si streamer sebut jadi mereka cuma ngeramein acara saja buat bikin orang penasaran jadi nominal dapat milyaran itu cuma ilusi bukan beneran income parah sih kalo itu beneran bikin saing bisnis tidak sehat
70,2023-10-17T06:18:24Z,@cargiewinata1963,titokshop kalahnya sama jemput bola,titokshop kalah sama jemput bola
71,2023-10-05T01:56:05Z,@J_Oppenheimer,ditutup demi pedagang tanah abang agar bisa kaya raya kembali ,tutup demi dagang tanah abang agar bisa kaya raya kembali
72,2023-10-05T04:32:28Z,@faisalnahdi3804,bukan ini pemerintah ngambil jalan tengah dan bukan ditutup tetapi ada regulasinya kedepan kalau dibiarkan khawatir akan adanya monopoli perdagangan dari china yang terkena imbas bakal menyeluruh ke semua lapisan rakyat indonesia sekarang ini baru di permukaan imbas hanya ke umkm,bukan ini perintah ngambil jalan tengah dan bukan tutup tetapi ada regulasi depan kalau biar khawatir akan ada monopoli dagang dari china yang kena imbas bakal seluruh ke semua lapis rakyat indonesia sekarang ini baru di muka imbas hanya ke umkm
73,2023-10-05T04:37:22Z,@BillyManson-oe2sb,maen ke pasar tradisional lain kasihan deh ngeliat pedagang ,maen ke pasar tradisional lain kasihan deh ngeliat dagang
74,2023-10-05T07:23:55Z,@bocil838,iya kasihan hidupnya tidak ngikutin zaman dan malah memakai cara zaman purba sebaiknya orang yang kaya gitu di air keras dan di museum kan,iya kasihan hidup tidak ngikutin zaman dan malah pakai cara zaman purba baik orang yang kaya gitu di air keras dan di museum kan
75,2023-10-05T07:42:15Z,@BillyManson-oe2sb,kemajuan zaman diikuti dengan keseimbangan kalau hanya maju tanpa adanya keseimbangan juga kurang tepat,maju zaman ikut dengan imbang kalau hanya maju tanpa ada imbang juga kurang tepat
76,2023-10-05T08:23:19Z,@bocil838,zaman diikuti dengan belajar tergantung sdm nya mau belajar atau tidak,zaman ikut dengan ajar gantung sdm nya mau ajar atau tidak
77,2023-10-04T23:16:41Z,@bearbrand7465,kembali ke pasar tradisional adalah yang terbaik untuk menjaga stabilitas perekonomian nasional yok kembali ke pasar kalau dengan tiktok live hanya akan menguntungkan sebagian kecil pihak saja tetapi dengan pasar tradisional akan menguntungkan lebih banyak pihak terima kasih pak mendag,kembali ke pasar tradisional adalah yang baik untuk jaga stabilitas ekonomi nasional yok kembali ke pasar kalau dengan tiktok live hanya akan untung bagi kecil pihak saja tetapi dengan pasar tradisional akan untung lebih banyak pihak terima kasih pak mendag
78,2023-10-05T00:16:03Z,@phuncek,jumlah pedagang online sekarang lebih banyak dari pedagang pasar ya itu tanah abang sudah pada kaya semua sudah jualan berapa lama mereka puluhan tahun loh ini yg jualan di tiktok aja belum lewat tahun zaman skrg uda canggih n serba digital yg harus dipikirkan itu masa depan lagian pedagang pasar itu jualnya mahal banget harusnya pedagang pasar itu yang melek digital,jumlah dagang online sekarang lebih banyak dari dagang pasar ya itu tanah abang sudah pada kaya semua sudah jual berapa lama mereka puluh tahun loh ini yg jual di tiktok aja belum lewat tahun zaman skrg uda canggih n serba digital yg harus pikir itu masa depan lagi dagang pasar itu jual mahal banget harus dagang pasar itu yang melek digital
79,2023-10-05T00:21:51Z,@bearbrand7465,kan pendapat pribadi saya pasti ada yang setuju ada yang tidak tetapi kalau dilihat dari keputusan pemerintah dan kebanyakan komentar netizen sori bro kayaknya pendapat saya benar pemerintah pasti akan mengambil kebijakan yang lebih menguntungkan banyak pihak selain itu menurutku sebagian besar pedagang indo belum melek teknologi jadi ya untuk sekarang memang harus diatur lagi ketika sebagian besar sudah melek teknologi baru aturannya dirubah lagi semua ada prosesnya bro mungkin saya bukan pakar ekonomi tetapi itu pendpat saya lagi komentar boleh tetapi tidak usah soksokan merendahkan orang lain bro pakai bilang saya egois dan terbelakang,kan dapat pribadi saya pasti ada yang tuju ada yang tidak tetapi kalau lihat dari putus perintah dan banyak komentar netizen sori bro kayak dapat saya benar perintah pasti akan ambil bijak yang lebih untung banyak pihak selain itu turut bagi besar dagang indo belum melek teknologi jadi ya untuk sekarang memang harus atur lagi ketika bagi besar sudah melek teknologi baru atur rubah lagi semua ada proses bro mungkin saya bukan pakar ekonomi tetapi itu pendpat saya lagi komentar boleh tetapi tidak usah soksokan rendah orang lain bro pakai bilang saya egois dan belakang
80,2023-10-05T00:33:16Z,@phuncek,anda kan tahu saat ini banyak yang berduka karena tiktokshop ditutup menurut anda pendapat anda benar itu atas dasar apa pembenaran sendiri oke saya minta maaf atas komen saya tadi semestinya saya harus hargai pendapat anda saya ralat jadi apakah anda pedagang online yang berhasil berkat adanya tiktok anda orang yang sudah terkena phk dan kemudian bangkit karena tiktok anda orang yang bisnisnya hancur karena pandemi kemudian bangkit karena tiktok boleh tidak saya ngeluarin statement begitu tentu pasti kurang tepat karena saya tidak di posisi anda zaman sudah canggih dan digital sekarang anak muda penerus bangsa mana yang tidak pakai smartphone pasti kebanyakan pengennya mudah sekarang kemudian katanya tinggal pindah jualan ke marketplace lain segampang itukah saya jualan di toped kalau tidak ngeluarin biaya iklan tidak bakal ada orderan shopee juga sama kadang sudah ngeluarin biaya iklan adanya malah rugi dan dengan umur saya sekarang sudah susah cari kerja harapan saya sebagai pedagang kecil yang tidak sanggup sewa ruko lapak dipasar bermodal kecil harus gimana,anda kan tahu saat ini banyak yang duka karena tiktokshop tutup turut anda dapat anda benar itu atas dasar apa benar sendiri oke saya minta maaf atas komen saya tadi mesti saya harus harga dapat anda saya ralat jadi apakah anda dagang online yang hasil berkat ada tiktok anda orang yang sudah kena phk dan kemudian bangkit karena tiktok anda orang yang bisnis hancur karena pandemi kemudian bangkit karena tiktok boleh tidak saya ngeluarin statement begitu tentu pasti kurang tepat karena saya tidak di posisi anda zaman sudah canggih dan digital sekarang anak muda terus bangsa mana yang tidak pakai smartphone pasti banyak ken mudah sekarang kemudian kata tinggal pindah jual ke marketplace lain gampang itu saya jual di toped kalau tidak ngeluarin biaya iklan tidak bakal ada order shopee juga sama kadang sudah ngeluarin biaya iklan ada malah rugi dan dengan umur saya sekarang sudah susah cari kerja harap saya bagai dagang kecil yang tidak sanggup sewa ruko lapak pasar modal kecil harus gimana
81,2023-10-05T00:41:16Z,@phuncek,kalau pemerintah mau blokir jangan ngasi waktu seminggu nasib kami gimana pemerintah ada kasi solusi tidak harusnya yang diregulasi itu barang import tidak resmi yang dijual di tiktokshop dan peraturan produsen yang tidak boleh jualan langsung di marketplace kalau soal promo dan bakar duit toped dan shopee dulu juga pernah kalau soal perizi tinggal di urus kalau soal ecommer dan sosmed tidak bisa dijadiin satu malah menurut saya ini inovasi tinggal buat aturan kalau konten yang harus didahulukan itu produk dalam negeri dan bantu majukan produk lokal bukan langsung blokir gini banyak pedagang sudah siapin promo dana dan sewa influencer untuk program jualannya dan bahkan banyak yang import secara resmi untuk dijual saya ini bukan importir ya cuman pedagang kecil pengecer di online saya ambil barang sama agen di kota saya sama distributor di glodok mangga dua dan itc mangga dua sama distributor di tanggerang sama produsen sepatu dalam negeri juga belinya ecer dikit makanya saya kesal saya tidak jual barang import tidak resmi langsung dari tiongkok,kalau perintah mau blokir jangan ngasi waktu minggu nasib kami gimana perintah ada kasi solusi tidak harus yang regulasi itu barang import tidak resmi yang jual di tiktokshop dan atur produsen yang tidak boleh jual langsung di marketplace kalau soal promo dan bakar duit toped dan shopee dulu juga pernah kalau soal perizi tinggal di urus kalau soal ecommer dan sosmed tidak bisa dijadiin satu malah turut saya ini inovasi tinggal buat atur kalau konten yang harus dahulu itu produk dalam negeri dan bantu maju produk lokal bukan langsung blokir gin banyak dagang sudah siapin promo dana dan sewa influencer untuk program jual dan bahkan banyak yang import cara resmi untuk jual saya ini bukan importir ya cuman dagang kecil ecer di online saya ambil barang sama agen di kota saya sama distributor di glodok mangga dua dan itc mangga dua sama distributor di tanggerang sama produsen sepatu dalam negeri juga beli ecer dikit makanya saya kesal saya tidak jual barang import tidak resmi langsung dari tiongkok
82,2023-10-05T01:30:00Z,@ariekayaorang926,pasar tradisional tidak mau intropeksi diri dan kayak preman playing victim parkir liar ditawar penuh drama maksa beli copet dimana kumuh apanya yang mau dibenahi kalau pola pikirnya tetap aja pra sejarah,pasar tradisional tidak mau intropeksi diri dan kayak preman playing victim parkir liar tawar penuh drama maksa beli copet mana kumuh apa yang mau benah kalau pola pikir tetap aja pra sejarah
83,2023-10-04T23:14:10Z,@pocongkpop732,wajar saja di hapus kebanyakan artis udah tajir melintir masih ikutan jualan live banting harga lagi,wajar saja di hapus banyak artis udah tajir melintir masih ikut jual live banting harga lagi
84,2023-10-17T06:22:50Z,@cargiewinata1963,mungkin dia live tujuan nya bukan semata mata uang tapi pamor dia kalo mangkin naik ti bakalan di undang ke acara acara tv atau di sinetron bukan uang tetapi pamor emang kamu tidak paham gerak gerik mereka,mungkin dia live tuju nya bukan semata mata uang tapi pamor dia kalo mangkin naik ti bakal di undang ke acara acara tv atau di sinetron bukan uang tetapi pamor emang kamu tidak paham gerak gerik mereka
85,2023-10-04T23:06:58Z,@nurkhasanah5265,bagus deh di tutup emang pemerintah harus ambil tindakan banyak olshop yang lain kalau mau kembangkan usaha kalian kan sudah ada wadahnya jangan yang di pikirin keuntungan saja tetapi pikirin juga umkm yang lain kaya pasar tradisional dan yang lain memang tiktok mersahkan dari awal muncul,bagus deh di tutup emang perintah harus ambil tindak banyak olshop yang lain kalau mau kembang usaha kalian kan sudah ada wadah jangan yang di pikirin untung saja tetapi pikirin juga umkm yang lain kaya pasar tradisional dan yang lain memang tiktok mersahkan dari awal muncul
86,2023-10-05T00:18:17Z,@phuncek,pasti anda bukan pedagang online makanya komennya gini,pasti anda bukan dagang online makanya komennya gin
87,2023-10-05T00:43:11Z,@nurkhasanah5265,saya jualan online tapi tidak mau nyerobot kayak begitu karena saya yakin dengan rejeki saya,saya jual online tapi tidak mau nyerobot kayak begitu karena saya yakin dengan rejeki saya
88,2023-10-05T00:48:46Z,@phuncek,masih tidak yakin anda pedagang online maaf,masih tidak yakin anda dagang online maaf
89,2023-10-04T22:48:26Z,@syarifhidayat527,blokir saja si tiktok nya sekalian,blokir saja si tiktok nya sekali
90,2023-10-05T00:23:33Z,@phuncek,tidak jelas anda,tidak jelas anda
91,2023-10-05T00:50:02Z,@ofickgamesz269,tidak jelas kamu komen atas,tidak jelas kamu komen atas
92,2023-10-04T22:16:33Z,@user-np6mm3jj6l,uuurrrraaaaaaaaaa,uuurrrraaaaaaaaaa
93,2023-10-04T22:15:14Z,@user-np6mm3jj6l,kalau usaha itu harus punya toko atau ruko jangan mau enak saja dagang di online modal dong jangan mau enak saja,kalau usaha itu harus punya toko atau ruko jangan mau enak saja dagang di online modal dong jangan mau enak saja
94,2023-10-05T00:19:44Z,@phuncek,jadi kalau modal kecil tidak boleh buka usaha zaman sekarang sudah dipermudah kok anda malah sewot padahal sudah dipermudah dengan adanya kesempatan online,jadi kalau modal kecil tidak boleh buka usaha zaman sekarang sudah mudah kok anda malah sewot padahal sudah mudah dengan ada sempat online
